club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Parma FC,Ianis Zicu,20,Attacking Midfield,Inter,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
Parma FC,Andrea Staffolani,21,Centre-Forward,Fermana,?,out,Summer,NA,Serie A,2004,2004/2005
Parma FC,Paolo Ruffini,20,Central Midfield,Pro Sesto,?,out,Summer,NA,Serie A,2004,2004/2005
Parma FC,Sebastiano Siviglia,31,Centre-Back,Lazio,?,out,Summer,NA,Serie A,2004,2004/2005
Parma FC,Benny Carbone,32,Second Striker,Catanzaro,?,out,Summer,NA,Serie A,2004,2004/2005
Parma FC,Gabriel Oyola,21,Centre-Back,Huracan TA,?,out,Summer,NA,Serie A,2004,2004/2005
Parma FC,Mirko Stefani,20,Centre-Back,Bellaria IM,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
Parma FC,Zlatko Dedic,19,Centre-Forward,Empoli,loan transfer,out,Summer,NA,Serie A,2004,2004/2005
Parma FC,Antonio Benarrivo,35,Left-Back,Retired,-,out,Summer,0,Serie A,2004,2004/2005
Parma FC,Marco Donadel,21,Defensive Midfield,AC Milan,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
Parma FC,Anthony Seric,25,Left-Back,Hellas Verona,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
Parma FC,Marco Amelia,22,Goalkeeper,AS Livorno,"End of loanJun 30, 2004",out,Summer,0,Serie A,2004,2004/2005
